D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42.000;-31.000;29.000;-55.500;71.000;-81.000;78.000;-108.500;60.000;-56.000;77.000;-59.000;68.000;-62.000;82.000;-53.000;78.000;-93.000;59.000;-54.000;
135.000;-37.022;109.000;-51.278;379.000;-60.970;409.000;-72.580;207.000;-66.970;257.000;-77.673;291.000;-71.340;261.000;-95.757;459.000;-64.461;264.000;-75.796;
181.000;-56.971;209.000;-71.099;540.000;-116.661;571.000;-111.972;328.000;-100.200;371.000;-104.715;450.000;-110.428;329.000;-114.096;612.000;-113.690;407.000;-112.283;
341.000;-83.588;362.000;-85.206;699.000;-93.472;736.000;-93.574;467.000;-96.652;508.000;-102.257;595.000;-99.888;407.000;-97.000;759.000;-97.747;563.000;-88.391;
492.000;-122.578;505.000;-119.846;857.000;-103.500;897.000;-100.742;614.000;-107.886;655.000;-93.691;741.000;-95.377;543.000;-109.397;905.000;-95.007;710.000;-113.030;
647.000;-76.492;655.000;-81.885;1015.000;-96.500;1060.000;-90.393;775.000;-97.131;814.000;-108.500;888.000;-117.560;684.000;-103.574;1052.000;-101.617;859.000;-87.610;
800.000;-116.016;810.000;-118.784;1173.000;-93.468;1220.000;-104.741;934.000;-97.883;1075.000;-185.600;1031.000;-80.515;828.000;-92.099;1195.000;-102.500;1006.000;-98.077;
951.000;-98.183;961.000;-92.216;1328.000;-101.955;1377.000;-92.643;1103.000;-84.950;1249.000;-67.760;1162.000;-75.835;973.000;-107.355;1338.000;-87.056;1157.000;-103.323;
1101.000;-83.017;1111.000;-94.209;1482.000;-93.500;1531.000;-95.372;1274.000;-114.621;1404.000;-105.107;1280.000;-142.325;1114.000;-94.007;1483.000;-102.091;1306.000;-95.750;
1250.000;-121.388;1262.000;-110.513;1636.000;-114.250;1686.000;-121.045;1439.000;-94.756;1558.000;-108.000;1408.000;-78.803;1250.000;-83.985;1630.000;-112.760;1455.000;-96.868;
1400.000;-55.332;1412.000;-42.988;1790.000;-71.626;1842.000;-53.920;1602.000;-87.449;1712.000;-69.000;1549.000;-95.086;1383.000;-121.602;1783.000;-71.185;1606.000;-87.693;
1551.000;-72.250;1563.000;-74.500;1946.000;-128.250;1999.000;-145.234;1763.000;-128.223;1866.000;-136.752;1697.000;-121.422;1521.000;-87.473;1938.000;-133.778;1759.000;-128.827;
1702.000;-50.173;1714.000;-45.070;2102.000;-77.315;2162.000;-78.003;1925.000;-57.761;2023.000;-48.971;1850.000;-64.252;1666.000;-90.791;2098.000;-75.678;1916.000;-63.875;
1855.000;-102.965;1868.000;-81.135;2260.000;-104.016;2331.000;-74.342;2085.000;-136.792;2179.000;-134.892;2004.000;-136.291;1815.000;-123.762;2261.000;-105.366;2075.000;-124.491;
2012.000;-41.241;2024.000;-13.595;2420.000;-107.250;2517.000;-156.308;2250.000;-86.478;2337.000;-78.300;2161.000;-68.265;1967.000;-67.516;2426.000;-106.814;2237.000;-86.858;
2172.000;-104.334;2184.000;-120.847;2580.000;-84.861;2706.000;-83.104;2427.000;-54.984;2492.000;-102.812;2323.000;-117.826;2126.000;-122.090;2600.000;-81.530;2402.000;-94.572;
2338.000;-126.848;2350.000;-136.664;2737.000;-106.849;2876.000;-80.246;2627.000;-160.763;2642.000;-115.613;2489.000;-101.700;2289.000;-90.053;2777.000;-111.000;2570.000;-118.921;
2514.000;-58.191;2535.000;-29.597;2891.000;-97.186;3040.000;-117.227;2815.000;-104.688;2785.000;-60.716;2666.000;-62.672;2456.000;-90.736;2954.000;-98.750;2744.000;-79.750;
2694.000;-113.331;2727.000;-118.432;3044.000;-99.726;3202.000;-84.680;2984.000;-69.523;2922.000;-137.202;2873.000;-150.165;2628.000;-113.250;3131.000;-95.395;2918.000;-105.584;
2868.000;-105.088;2905.000;-115.410;3187.000;-88.722;3359.000;-100.429;3148.000;-119.648;3058.000;-86.710;3085.000;-76.133;2800.000;-96.787;3311.000;-90.283;3102.000;-89.287;
3041.000;-91.634;3078.000;-80.648;3323.000;-116.714;3521.000;-107.555;3311.000;-90.476;3201.000;-87.598;3263.000;-96.336;2966.000;-91.512;3512.000;-127.987;3294.000;-105.722;
3219.000;-95.561;3254.000;-101.823;3458.000;-90.607;3676.000;-82.450;3476.000;-98.959;3354.000;-115.893;3432.000;-103.101;3125.000;-101.662;3723.000;-86.047;3480.000;-106.997;
3402.000;-101.750;3440.000;-117.938;3603.000;-92.028;3822.000;-116.204;3644.000;-108.765;3510.000;-81.376;3594.000;-87.757;3281.000;-103.070;3895.000;-94.760;3656.000;-85.699;
3585.000;-101.228;3644.000;-82.373;3759.000;-107.000;3967.000;-91.565;3827.000;-76.265;3668.000;-115.250;3759.000;-113.242;3430.000;-88.669;4057.000;-100.329;3827.000;-106.471;
3764.000;-101.669;3842.000;-98.966;3915.000;-95.461;4120.000;-93.187;4058.000;-135.476;3826.000;-88.272;3922.000;-87.174;3577.000;-113.500;4211.000;-99.832;3966.000;-125.538;
3955.000;-85.079;4026.000;-106.250;4069.000;-94.328;4280.000;-111.000;4302.000;-89.933;3988.000;-101.111;4084.000;-101.885;3722.000;-84.202;4364.000;-95.809;4037.000;-96.628;
4165.000;-99.921;4210.000;-95.125;4218.000;-107.645;4440.000;-89.392;4476.000;-85.960;4142.000;-116.249;4249.000;-101.124;3869.000;-102.030;4515.000;-94.881;4213.000;-95.313;
4392.000;-67.842;4410.000;-72.324;4362.000;-91.096;4605.000;-91.718;4639.000;-111.316;4173.000;-86.316;4415.000;-94.103;4022.000;-111.779;4670.000;-114.558;4414.000;-89.657;
4638.000;-116.519;4642.000;-126.346;4510.000;-98.279;4823.000;-119.832;4797.000;-95.047;4313.000;-82.067;4580.000;-99.915;4181.000;-77.953;4827.000;-76.618;4594.000;-101.935;
4807.000;-99.345;4827.000;-98.503;4660.000;-106.253;5033.000;-100.195;4948.000;-93.159;4473.000;-113.861;4744.000;-102.689;4342.000;-115.041;4988.000;-112.665;4759.000;-101.707;
4971.000;-91.313;4998.000;-87.524;4813.000;-91.429;5202.000;-90.741;5092.000;-102.871;4638.000;-86.000;4914.000;-100.362;4508.000;-90.829;5158.000;-121.503;4922.000;-91.228;
5133.000;-107.286;5162.000;-109.922;4968.000;-101.748;5367.000;-102.710;5251.000;-100.059;4803.000;-107.667;5115.000;-70.681;4676.000;-98.190;5380.000;-56.814;5083.000;-106.114;
5293.000;-93.442;5325.000;-92.346;5122.000;-95.518;5559.000;-114.033;5422.000;-99.087;4971.000;-92.250;5328.000;-99.844;4847.000;-103.250;5569.000;-94.994;5242.000;-94.129;
