D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42.000;-21.000;29.000;-45.000;71.000;-2.000;78.000;-20.000;60.000;6.000;77.000;-3.000;68.000;-7.000;82.000;8.000;78.000;-29.000;59.000;5.000;
111.000;-32.585;119.000;-35.588;305.000;-22.403;324.000;-6.128;194.000;-27.710;224.000;-54.065;259.000;-51.480;205.000;-74.300;345.000;-50.430;233.000;-55.806;
181.000;-39.000;209.000;-26.000;540.000;59.000;571.000;87.000;328.000;-34.000;371.000;-64.000;450.000;-39.000;329.000;-110.000;612.000;51.000;407.000;-69.000;
336.000;-13.356;357.000;-2.005;698.000;210.022;734.000;220.876;471.000;10.994;513.000;-16.426;595.000;31.598;436.000;-76.425;758.000;189.830;558.000;-11.090;
492.000;87.000;505.000;68.000;857.000;412.000;897.000;389.000;614.000;95.000;655.000;22.000;741.000;122.000;543.000;-3.000;905.000;347.000;710.000;114.000;
646.000;276.020;657.000;224.871;1015.000;624.574;1058.000;563.405;774.000;209.679;865.000;-24.184;886.000;184.823;685.000;110.754;1050.000;477.988;858.000;290.358;
800.000;554.000;810.000;467.000;1173.000;832.000;1220.000;758.000;934.000;331.000;1075.000;22.000;1031.000;177.000;828.000;215.000;1195.000;603.000;1006.000;493.000;
950.000;893.528;960.000;770.263;1327.000;1020.367;1375.000;975.376;1104.000;463.407;1239.000;274.270;1155.000;111.222;971.000;287.679;1339.000;748.577;1156.000;698.257;
1101.000;1237.000;1111.000;1110.000;1482.000;1197.000;1531.000;1217.000;1274.000;637.000;1404.000;662.000;1280.000;113.000;1114.000;328.000;1483.000;923.000;1306.000;899.000;
1250.000;1511.153;1261.000;1440.144;1636.000;1353.054;1686.000;1450.504;1438.000;870.919;1558.000;1052.861;1414.000;308.970;1248.000;351.595;1633.000;1123.704;1456.000;1093.731;
