D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
135;-41;109;-66;379;-160;409;-197;207;-118;257;-115;291;-117;261;-114;459;-157;264;-113;
341;-193;362;-193;699;-423;736;-427;467;-222;508;-182;595;-241;407;-123;759;-395;563;-202;
647;-475;655;-428;1015;-815;1060;-756;775;-408;814;-239;888;-385;684;-312;1052;-680;859;-480;
951;-1093;961;-974;1328;-1219;1377;-1175;1103;-653;1249;-496;1162;-295;973;-487;1338;-936;1157;-904;
1250;-1711;1262;-1625;1636;-1549;1686;-1642;1439;-1072;1558;-1246;1408;-509;1250;-544;1630;-1321;1455;-1277;
1551;-1913;1563;-1940;1946;-1626;1999;-1742;1763;-1525;1866;-1826;1697;-1114;1521;-793;1938;-1515;1759;-1616;
1855;-1960;1868;-2013;2260;-1271;2331;-1188;2085;-1532;2179;-1790;2004;-1418;1815;-1222;2261;-1223;2075;-1537;
2172;-1541;2184;-1667;2580;-814;2706;-909;2427;-993;2492;-1185;2323;-1159;2126;-1308;2600;-799;2402;-1054;
2514;-912;2535;-879;2891;-544;3040;-908;2815;-930;2785;-576;2666;-604;2456;-1043;2954;-577;2744;-616;
2868;-754;2905;-819;3187;-334;3359;-635;3148;-936;3058;-523;3085;-465;2800;-854;3311;-389;3102;-425;
3219;-576;3254;-634;3458;-295;3676;-328;3476;-624;3354;-689;3432;-671;3125;-717;3723;-350;3480;-355;
3585;-399;3644;-401;3759;-374;3967;-275;3827;-295;3668;-610;3759;-777;3430;-555;4057;-485;3827;-202;
3955;-224;4026;-370;4069;-350;4280;-331;4302;-262;3988;-283;4084;-678;3722;-555;4364;-586;4037;-116;
4392;-155;4410;-262;4362;-384;4605;-229;4639;-349;4173;-101;4415;-514;4022;-749;4670;-699;4414;-263;
4807;-371;4827;-434;4660;-516;5033;-193;4948;-269;4473;-367;4744;-402;4342;-779;4988;-582;4759;-464;
5133;-575;5162;-630;4968;-560;5367;-190;5251;-239;4803;-417;5115;-253;4676;-559;5380;-303;5083;-612;
5450;-656;5484;-661;5277;-538;5810;-174;5611;-212;5139;-318;5491;-316;5018;-324;5729;-399;5405;-651;
5763;-710;5803;-648;5590;-469;6151;-255;6005;-189;5476;-167;5786;-291;5417;-256;6040;-364;5738;-593;
6074;-662;6123;-599;5922;-360;6466;-352;6370;-226;5721;-133;6085;-295;5756;-355;6358;-235;6075;-496;
6374;-458;6426;-447;6280;-377;6778;-486;6684;-352;6022;-202;6464;-225;6064;-247;6571;-56;6412;-426;
6660;-347;6708;-342;6609;-451;7093;-500;7008;-450;6344;-266;6816;-257;6310;-114;6828;-200;6744;-341;
6947;-299;6986;-279;6926;-447;7417;-405;7332;-408;6667;-365;7123;-244;6546;-236;7149;-217;7052;-230;
7248;-293;7266;-291;7244;-393;7780;-400;7667;-351;6989;-361;7440;-266;6842;-397;7478;-225;7328;-218;
7584;-330;7590;-253;7575;-294;8120;-530;8033;-420;7309;-320;7785;-251;7153;-444;7807;-343;7620;-231;
7942;-334;8002;-268;7910;-193;8450;-536;8383;-593;7634;-334;8141;-244;7464;-366;8131;-458;7935;-242;
8298;-358;8340;-336;8278;-154;8788;-441;8719;-595;7952;-256;8488;-338;7774;-293;8455;-468;8276;-196;
8642;-445;8687;-367;8630;-198;9129;-326;9066;-447;8224;-138;8823;-462;8088;-216;8786;-398;8668;-166;
8984;-489;9042;-425;8963;-207;9461;-186;9433;-391;8476;-213;9166;-469;8403;-197;9113;-296;9051;-202;
9326;-446;9387;-429;9296;-186;9711;-111;9779;-358;8771;-333;9507;-403;8733;-266;9452;-169;9381;-272;
9656;-409;9721;-385;9618;-214;10006;-164;10142;-263;9087;-446;9844;-349;9057;-281;9920;-159;9710;-324;
9976;-366;10043;-310;9940;-251;;;;;9425;-330;10189;-299;9368;-266;;;10024;-356;
;;;;10254;-240;;;;;9922;-150;;;9689;-297;;;;;
;;;;;;;;;;10245;-184;;;10018;-296;;;;;
