D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
135.000;-41.000;109.000;-66.000;379.000;-160.000;409.000;-197.000;207.000;-118.000;257.000;-115.000;291.000;-117.000;261.000;-114.000;459.000;-157.000;264.000;-113.000;
153.000;-54.620;132.000;-77.050;408.000;-180.743;438.000;-215.419;230.000;-126.110;279.000;-121.087;318.000;-125.256;274.000;-113.335;486.000;-176.701;291.000;-117.451;
171.000;-68.224;155.000;-88.124;437.000;-201.640;467.000;-233.932;253.000;-134.272;301.000;-127.165;345.000;-133.644;287.000;-112.740;513.000;-196.487;318.000;-122.079;
189.000;-81.797;178.000;-99.248;466.000;-222.844;496.000;-252.634;276.000;-142.537;323.000;-133.222;372.000;-142.294;300.000;-112.286;540.000;-216.440;345.000;-127.060;
207.000;-95.324;201.000;-110.447;495.000;-244.509;525.000;-271.617;299.000;-150.957;345.000;-139.250;399.000;-151.340;313.000;-112.043;567.000;-236.647;372.000;-132.572;
225.000;-108.787;224.000;-121.744;524.000;-266.788;554.000;-290.977;322.000;-159.583;367.000;-145.237;426.000;-160.911;326.000;-112.081;594.000;-257.190;399.000;-138.792;
243.000;-122.173;247.000;-133.166;553.000;-289.835;583.000;-310.808;345.000;-168.467;389.000;-151.175;453.000;-171.140;339.000;-112.470;621.000;-278.155;426.000;-145.896;
261.000;-135.465;270.000;-144.736;582.000;-313.803;612.000;-331.203;368.000;-177.660;411.000;-157.053;480.000;-182.158;352.000;-113.282;648.000;-299.624;453.000;-154.062;
279.000;-148.647;293.000;-156.480;611.000;-338.847;641.000;-352.257;391.000;-187.214;433.000;-162.861;507.000;-194.097;365.000;-114.586;675.000;-321.684;480.000;-163.465;
297.000;-161.705;316.000;-168.422;640.000;-365.119;670.000;-374.064;414.000;-197.181;455.000;-168.589;534.000;-207.088;378.000;-116.452;702.000;-344.417;507.000;-174.284;
315.000;-174.622;339.000;-180.587;669.000;-392.774;699.000;-396.718;437.000;-207.612;477.000;-174.227;561.000;-221.263;391.000;-118.951;729.000;-367.908;534.000;-186.695;
341.000;-193.000;362.000;-193.000;699.000;-423.000;736.000;-427.000;467.000;-222.000;508.000;-182.000;595.000;-241.000;407.000;-123.000;759.000;-395.000;563.000;-202.000;
368.000;-211.763;388.000;-207.393;727.000;-452.796;765.000;-451.910;495.000;-236.292;535.000;-188.585;621.000;-257.558;432.000;-131.635;785.000;-419.370;589.000;-217.606;
395.000;-230.509;414.000;-222.357;755.000;-484.020;794.000;-477.839;523.000;-251.363;562.000;-194.966;647.000;-274.973;457.000;-142.880;811.000;-444.439;615.000;-234.999;
422.000;-249.625;440.000;-238.114;783.000;-516.522;823.000;-504.745;551.000;-267.127;589.000;-201.114;673.000;-292.731;482.000;-156.426;837.000;-470.039;641.000;-254.151;
449.000;-269.497;466.000;-254.887;811.000;-550.149;852.000;-532.589;579.000;-283.500;616.000;-206.995;699.000;-310.314;507.000;-171.961;863.000;-496.002;667.000;-275.032;
476.000;-290.510;492.000;-272.898;839.000;-584.751;881.000;-561.326;607.000;-300.396;643.000;-212.579;725.000;-327.207;532.000;-189.175;889.000;-522.159;693.000;-297.615;
503.000;-313.051;518.000;-292.370;867.000;-620.177;910.000;-590.917;635.000;-317.731;670.000;-217.833;751.000;-342.894;557.000;-207.759;915.000;-548.343;719.000;-321.871;
530.000;-337.505;544.000;-313.524;895.000;-656.275;939.000;-621.319;663.000;-335.419;697.000;-222.727;777.000;-356.860;582.000;-227.402;941.000;-574.383;745.000;-347.769;
557.000;-364.258;570.000;-336.585;923.000;-692.893;968.000;-652.491;691.000;-353.375;724.000;-227.229;803.000;-368.589;607.000;-247.793;967.000;-600.114;771.000;-375.282;
584.000;-393.698;596.000;-361.774;951.000;-729.881;997.000;-684.391;719.000;-371.514;751.000;-231.308;829.000;-377.565;632.000;-268.622;993.000;-625.365;797.000;-404.381;
611.000;-426.208;622.000;-389.313;979.000;-767.087;1026.000;-716.977;747.000;-389.751;778.000;-234.931;855.000;-383.273;657.000;-289.580;1019.000;-649.969;823.000;-435.037;
