D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
135.000;-41.000;109.000;-66.000;379.000;-160.000;409.000;-197.000;207.000;-118.000;257.000;-115.000;291.000;-117.000;261.000;-114.000;459.000;-157.000;264.000;-113.000;
341.000;-193.000;362.000;-193.000;699.000;-423.000;736.000;-427.000;467.000;-222.000;508.000;-182.000;595.000;-241.000;407.000;-123.000;759.000;-395.000;563.000;-202.000;
647.000;-475.000;655.000;-428.000;1015.000;-815.000;1060.000;-756.000;775.000;-408.000;814.000;-239.000;888.000;-385.000;684.000;-312.000;1052.000;-680.000;859.000;-480.000;
951.000;-1093.000;961.000;-974.000;1328.000;-1219.000;1377.000;-1175.000;1103.000;-653.000;1249.000;-496.000;1162.000;-295.000;973.000;-487.000;1338.000;-936.000;1157.000;-904.000;
1250.000;-1711.000;1262.000;-1625.000;1636.000;-1549.000;1686.000;-1642.000;1439.000;-1072.000;1558.000;-1246.000;1408.000;-509.000;1250.000;-544.000;1630.000;-1321.000;1455.000;-1277.000;
1551.000;-1913.000;1563.000;-1940.000;1946.000;-1626.000;1999.000;-1742.000;1763.000;-1525.000;1866.000;-1826.000;1697.000;-1114.000;1521.000;-793.000;1938.000;-1515.000;1759.000;-1616.000;
1855.000;-1960.000;1868.000;-2013.000;2260.000;-1271.000;2331.000;-1188.000;2085.000;-1532.000;2179.000;-1790.000;2004.000;-1418.000;1815.000;-1222.000;2261.000;-1223.000;2075.000;-1537.000;
2172.000;-1541.000;2184.000;-1667.000;2580.000;-814.000;2706.000;-909.000;2427.000;-993.000;2492.000;-1185.000;2323.000;-1159.000;2126.000;-1308.000;2600.000;-799.000;2402.000;-1054.000;
2514.000;-912.000;2535.000;-879.000;2891.000;-544.000;3040.000;-908.000;2815.000;-930.000;2785.000;-576.000;2666.000;-604.000;2456.000;-1043.000;2954.000;-577.000;2744.000;-616.000;
2868.000;-754.000;2905.000;-819.000;3187.000;-334.000;3359.000;-635.000;3148.000;-936.000;3058.000;-523.000;3085.000;-465.000;2800.000;-854.000;3311.000;-389.000;3102.000;-425.000;
3219.000;-576.000;3254.000;-634.000;3458.000;-295.000;3676.000;-328.000;3476.000;-624.000;3354.000;-689.000;3432.000;-671.000;3125.000;-717.000;3723.000;-350.000;3480.000;-355.000;
3585.000;-399.000;3644.000;-401.000;3759.000;-374.000;3967.000;-275.000;3827.000;-295.000;3668.000;-610.000;3759.000;-777.000;3430.000;-555.000;4057.000;-485.000;3827.000;-202.000;
3955.000;-224.000;4026.000;-370.000;4069.000;-350.000;4280.000;-331.000;4302.000;-262.000;3988.000;-283.000;4084.000;-678.000;3722.000;-555.000;4364.000;-586.000;4037.000;-116.000;
4392.000;-155.000;4410.000;-262.000;4362.000;-384.000;4605.000;-229.000;4639.000;-349.000;4173.000;-101.000;4415.000;-514.000;4022.000;-749.000;4670.000;-699.000;4414.000;-263.000;
