D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42.921;-30.930;29.792;-55.403;74.050;-80.213;81.277;-107.615;61.455;-55.988;78.782;-59.074;70.208;-61.894;83.772;-53.312;81.772;-91.990;61.030;-54.036;
43.842;-30.860;30.584;-55.307;77.099;-79.426;84.554;-106.730;62.911;-55.977;80.564;-59.149;72.416;-61.788;85.545;-53.624;85.545;-90.980;63.059;-54.073;
44.762;-30.790;31.376;-55.210;80.149;-78.641;87.832;-105.846;64.366;-55.965;82.347;-59.224;74.624;-61.682;87.317;-53.936;89.317;-89.972;65.089;-54.109;
45.683;-30.721;32.168;-55.114;83.198;-77.856;91.109;-104.963;65.822;-55.954;84.129;-59.298;76.832;-61.577;89.089;-54.248;93.089;-88.964;67.119;-54.146;
46.604;-30.652;32.960;-55.017;86.248;-77.072;94.386;-104.080;67.277;-55.943;85.911;-59.374;79.040;-61.472;90.861;-54.561;96.861;-87.959;69.149;-54.184;
47.525;-30.583;33.752;-54.921;89.297;-76.290;97.663;-103.200;68.733;-55.932;87.693;-59.449;81.248;-61.368;92.634;-54.874;100.634;-86.955;71.178;-54.222;
48.446;-30.514;34.545;-54.825;92.347;-75.511;100.941;-102.321;70.188;-55.922;89.475;-59.525;83.455;-61.264;94.406;-55.187;104.406;-85.954;73.208;-54.260;
49.366;-30.446;35.337;-54.729;95.396;-74.734;104.218;-101.445;71.644;-55.912;91.257;-59.601;85.663;-61.161;96.178;-55.501;108.178;-84.956;75.238;-54.299;
50.287;-30.379;36.129;-54.634;98.446;-73.959;107.495;-100.571;73.099;-55.903;93.040;-59.678;87.871;-61.059;97.950;-55.815;111.951;-83.961;77.267;-54.339;
51.208;-30.313;36.921;-54.539;101.495;-73.188;110.772;-99.700;74.554;-55.894;94.822;-59.755;90.079;-60.958;99.723;-56.130;115.723;-82.971;79.297;-54.380;
52.129;-30.247;37.713;-54.444;104.545;-72.420;114.050;-98.832;76.010;-55.886;96.604;-59.833;92.287;-60.859;101.495;-56.446;119.495;-81.984;81.327;-54.423;
53.050;-30.182;38.505;-54.349;107.594;-71.656;117.327;-97.967;77.465;-55.879;98.386;-59.912;94.495;-60.760;103.267;-56.762;123.267;-81.002;83.356;-54.466;
53.970;-30.118;39.297;-54.255;110.644;-70.896;120.604;-97.106;78.921;-55.873;100.168;-59.992;96.703;-60.663;105.040;-57.079;127.040;-80.026;85.386;-54.510;
54.891;-30.055;40.089;-54.161;113.693;-70.140;123.881;-96.250;80.376;-55.867;101.951;-60.072;98.911;-60.568;106.812;-57.397;130.812;-79.055;87.416;-54.556;
55.812;-29.993;40.881;-54.068;116.743;-69.390;127.158;-95.397;81.832;-55.863;103.733;-60.153;101.119;-60.474;108.584;-57.716;134.584;-78.090;89.446;-54.604;
56.733;-29.932;41.673;-53.975;119.792;-68.644;130.436;-94.549;83.287;-55.860;105.515;-60.236;103.327;-60.382;110.356;-58.036;138.356;-77.131;91.475;-54.653;
57.653;-29.872;42.465;-53.883;122.842;-67.905;133.713;-93.707;84.743;-55.858;107.297;-60.319;105.535;-60.292;112.129;-58.357;142.129;-76.179;93.505;-54.703;
58.574;-29.814;43.257;-53.791;125.891;-67.171;136.990;-92.869;86.198;-55.857;109.079;-60.403;107.743;-60.204;113.901;-58.679;145.901;-75.235;95.535;-54.756;
59.495;-29.757;44.050;-53.700;128.941;-66.443;140.267;-92.037;87.653;-55.857;110.861;-60.489;109.950;-60.118;115.673;-59.002;149.673;-74.298;97.564;-54.810;
60.416;-29.701;44.842;-53.610;131.990;-65.722;143.545;-91.211;89.109;-55.859;112.644;-60.576;112.158;-60.034;117.446;-59.326;153.446;-73.369;99.594;-54.866;
61.337;-29.647;45.634;-53.520;135.040;-65.008;146.822;-90.392;90.564;-55.862;114.426;-60.664;114.366;-59.952;119.218;-59.652;157.218;-72.449;101.624;-54.925;
62.257;-29.595;46.426;-53.431;138.089;-64.301;150.099;-89.578;92.020;-55.866;116.208;-60.753;116.574;-59.873;120.990;-59.979;160.990;-71.538;103.653;-54.986;
63.178;-29.544;47.218;-53.342;141.139;-63.601;153.376;-88.772;93.475;-55.873;117.990;-60.844;118.782;-59.797;122.762;-60.307;164.762;-70.636;105.683;-55.049;
64.099;-29.495;48.010;-53.254;144.188;-62.910;156.653;-87.973;94.931;-55.880;119.772;-60.936;120.990;-59.723;124.535;-60.637;168.535;-69.744;107.713;-55.114;
65.020;-29.448;48.802;-53.167;147.238;-62.227;159.931;-87.181;96.386;-55.890;121.554;-61.030;123.198;-59.652;126.307;-60.969;172.307;-68.863;109.743;-55.182;
65.941;-29.403;49.594;-53.081;150.287;-61.552;163.208;-86.397;97.842;-55.901;123.337;-61.126;125.406;-59.584;128.079;-61.302;176.079;-67.992;111.772;-55.253;
66.861;-29.360;50.386;-52.996;153.337;-60.887;166.485;-85.621;99.297;-55.914;125.119;-61.223;127.614;-59.518;129.852;-61.637;179.852;-67.132;113.802;-55.326;
67.782;-29.319;51.178;-52.912;156.386;-60.231;169.762;-84.854;100.752;-55.929;126.901;-61.322;129.822;-59.457;131.624;-61.974;183.624;-66.284;115.832;-55.402;
