D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42.000;-21.000;29.000;-45.000;71.000;-2.000;78.000;-20.000;60.000;6.000;77.000;-3.000;68.000;-7.000;82.000;8.000;78.000;-29.000;59.000;5.000;
181.000;-39.000;209.000;-26.000;540.000;59.000;571.000;87.000;328.000;-34.000;371.000;-64.000;450.000;-39.000;329.000;-110.000;612.000;51.000;407.000;-69.000;
492.000;87.000;505.000;68.000;857.000;412.000;897.000;389.000;614.000;95.000;655.000;22.000;741.000;122.000;543.000;-3.000;905.000;347.000;710.000;114.000;
800.000;554.000;810.000;467.000;1173.000;832.000;1220.000;758.000;934.000;331.000;1075.000;22.000;1031.000;177.000;828.000;215.000;1195.000;603.000;1006.000;493.000;
1101.000;1237.000;1111.000;1110.000;1482.000;1197.000;1531.000;1217.000;1274.000;637.000;1404.000;662.000;1280.000;113.000;1114.000;328.000;1483.000;923.000;1306.000;899.000;
1400.000;1701.000;1412.000;1696.000;1790.000;1444.000;1842.000;1584.000;1602.000;1125.000;1712.000;1398.000;1549.000;614.000;1383.000;423.000;1783.000;1275.000;1606.000;1270.000;
1702.000;1836.000;1714.000;1886.000;2102.000;1295.000;2162.000;1314.000;1925.000;1413.000;2023.000;1710.000;1850.000;1137.000;1666.000;823.000;2098.000;1219.000;1916.000;1449.000;
2012.000;1670.000;2024.000;1815.000;2420.000;828.000;2517.000;737.000;2250.000;1099.000;2337.000;1328.000;2161.000;1154.000;1967.000;1129.000;2426.000;803.000;2237.000;1124.000;
2338.000;982.000;2350.000;1021.000;2737.000;464.000;2876.000;748.000;2627.000;639.000;2642.000;642.000;2489.000;687.000;2289.000;997.000;2777.000;466.000;2570.000;601.000;
2694.000;605.000;2727.000;611.000;3044.000;236.000;3202.000;600.000;2984.000;794.000;2922.000;275.000;2873.000;235.000;2628.000;722.000;3131.000;293.000;2918.000;312.000;
3041.000;483.000;3078.000;566.000;3323.000;81.000;3521.000;263.000;3311.000;600.000;3201.000;428.000;3263.000;378.000;2966.000;601.000;3512.000;114.000;3294.000;178.000;
3402.000;284.000;3440.000;287.000;3603.000;149.000;3822.000;69.000;3644.000;249.000;3510.000;487.000;3594.000;548.000;3281.000;428.000;3895.000;230.000;3656.000;106.000;
3764.000;111.000;3842.000;187.000;3915.000;171.000;4120.000;116.000;4058.000;8.000;3826.000;272.000;3922.000;553.000;3577.000;328.000;4211.000;336.000;3966.000;-106.000;
4165.000;-9.000;4210.000;128.000;4218.000;152.000;4440.000;102.000;4476.000;135.000;4142.000;-101.000;4249.000;394.000;3869.000;446.000;4515.000;452.000;4213.000;-6.000;
4638.000;50.000;4642.000;105.000;4510.000;253.000;4823.000;-29.000;4797.000;118.000;4313.000;61.000;4580.000;258.000;4181.000;608.000;4827.000;488.000;4594.000;164.000;
4971.000;291.000;4998.000;359.000;4813.000;355.000;5202.000;10.000;5092.000;49.000;4638.000;220.000;4914.000;133.000;4508.000;488.000;5158.000;218.000;4922.000;356.000;
5293.000;429.000;5325.000;461.000;5122.000;358.000;5559.000;-45.000;5422.000;28.000;4971.000;183.000;5328.000;89.000;4847.000;235.000;5569.000;165.000;5242.000;443.000;
5606.000;488.000;5644.000;456.000;5431.000;312.000;5986.000;23.000;5807.000;8.000;5313.000;45.000;5642.000;108.000;5199.000;48.000;5884.000;199.000;5572.000;440.000;
5920.000;514.000;5964.000;443.000;5752.000;218.000;6309.000;96.000;6206.000;-4.000;5610.000;-81.000;5933.000;98.000;5596.000;128.000;6197.000;114.000;5905.000;340.000;
6228.000;368.000;6275.000;328.000;6100.000;146.000;6620.000;229.000;6529.000;82.000;5866.000;-23.000;6252.000;62.000;5914.000;125.000;6560.000;-57.000;6244.000;268.000;
6518.000;186.000;6568.000;192.000;6447.000;227.000;6936.000;315.000;6846.000;221.000;6181.000;30.000;6654.000;52.000;6204.000;-38.000;6658.000;-49.000;6578.000;185.000;
6802.000;128.000;6849.000;107.000;6767.000;260.000;7252.000;261.000;7170.000;245.000;6505.000;122.000;6970.000;51.000;6416.000;-37.000;6986.000;23.000;6902.000;93.000;
7091.000;89.000;7124.000;77.000;7084.000;229.000;7595.000;174.000;7497.000;176.000;6829.000;183.000;7276.000;57.000;6694.000;120.000;7309.000;12.000;7190.000;5.000;
7410.000;116.000;7421.000;98.000;7408.000;152.000;7954.000;274.000;7849.000;160.000;7146.000;136.000;7611.000;68.000;6996.000;247.000;7646.000;77.000;7472.000;34.000;
7762.000;140.000;7810.000;22.000;7742.000;41.000;8287.000;355.000;8210.000;319.000;7472.000;129.000;7958.000;41.000;7308.000;213.000;7968.000;212.000;7772.000;41.000;
8122.000;141.000;8171.000;117.000;8082.000;-34.000;8619.000;297.000;8551.000;426.000;7798.000;117.000;8319.000;82.000;7617.000;132.000;8293.000;280.000;8102.000;27.000;
8472.000;200.000;8511.000;150.000;8466.000;-24.000;8959.000;187.000;8890.000;327.000;8100.000;-17.000;8655.000;209.000;7930.000;57.000;8623.000;242.000;8460.000;-21.000;
8812.000;285.000;8865.000;203.000;8795.000;15.000;9295.000;64.000;9252.000;203.000;8338.000;-33.000;8995.000;287.000;8246.000;-4.000;8950.000;151.000;8878.000;-16.000;
9155.000;275.000;9217.000;236.000;9131.000;-4.000;9605.000;-75.000;9609.000;187.000;8619.000;69.000;9336.000;239.000;8567.000;31.000;9278.000;38.000;9219.000;33.000;
9496.000;228.000;9555.000;216.000;9460.000;-3.000;9845.000;-54.000;9954.000;116.000;8926.000;210.000;9678.000;177.000;8893.000;90.000;9735.000;-63.000;9547.000;109.000;
9816.000;197.000;9884.000;157.000;9779.000;40.000;10190.000;-22.000;;;9252.000;223.000;10012.000;125.000;9211.000;71.000;10098.000;-29.000;9864.000;144.000;
10135.000;125.000;10201.000;67.000;10095.000;56.000;;;;;9596.000;18.000;;;9524.000;84.000;;;10185.000;179.000;
;;;;;;;;;;10085.000;-17.000;;;9856.000;105.000;;;;;
;;;;;;;;;;;;;;10186.000;97.000;;;;;
