D_ref_x;D_ref_y;D_1_x;D_1_y;D_2_x;D_2_y;D_3_x;D_3_y;D_4_x;D_4_y;D_5_x;D_5_y;D_6_x;D_6_y;D_7_x;D_7_y;D_8_x;D_8_y;D_9_x;D_9_y;
42;-21;29;-45;71;-2;78;-20;60;6;77;-3;68;-7;82;8;78;-29;59;5;
181;-39;209;-26;540;59;571;87;328;-34;371;-64;450;-39;329;-110;612;51;407;-69;
492;87;505;68;857;412;897;389;614;95;655;22;741;122;543;-3;905;347;710;114;
800;554;810;467;1173;832;1220;758;934;331;1075;22;1031;177;828;215;1195;603;1006;493;
1101;1237;1111;1110;1482;1197;1531;1217;1274;637;1404;662;1280;113;1114;328;1483;923;1306;899;
1400;1701;1412;1696;1790;1444;1842;1584;1602;1125;1712;1398;1549;614;1383;423;1783;1275;1606;1270;
1702;1836;1714;1886;2102;1295;2162;1314;1925;1413;2023;1710;1850;1137;1666;823;2098;1219;1916;1449;
2012;1670;2024;1815;2420;828;2517;737;2250;1099;2337;1328;2161;1154;1967;1129;2426;803;2237;1124;
2338;982;2350;1021;2737;464;2876;748;2627;639;2642;642;2489;687;2289;997;2777;466;2570;601;
2694;605;2727;611;3044;236;3202;600;2984;794;2922;275;2873;235;2628;722;3131;293;2918;312;
3041;483;3078;566;3323;81;3521;263;3311;600;3201;428;3263;378;2966;601;3512;114;3294;178;
3402;284;3440;287;3603;149;3822;69;3644;249;3510;487;3594;548;3281;428;3895;230;3656;106;
3764;111;3842;187;3915;171;4120;116;4058;8;3826;272;3922;553;3577;328;4211;336;3966;-106;
4165;-9;4210;128;4218;152;4440;102;4476;135;4142;-101;4249;394;3869;446;4515;452;4213;-6;
4638;50;4642;105;4510;253;4823;-29;4797;118;4313;61;4580;258;4181;608;4827;488;4594;164;
4971;291;4998;359;4813;355;5202;10;5092;49;4638;220;4914;133;4508;488;5158;218;4922;356;
5293;429;5325;461;5122;358;5559;-45;5422;28;4971;183;5328;89;4847;235;5569;165;5242;443;
5606;488;5644;456;5431;312;5986;23;5807;8;5313;45;5642;108;5199;48;5884;199;5572;440;
5920;514;5964;443;5752;218;6309;96;6206;-4;5610;-81;5933;98;5596;128;6197;114;5905;340;
6228;368;6275;328;6100;146;6620;229;6529;82;5866;-23;6252;62;5914;125;6560;-57;6244;268;
6518;186;6568;192;6447;227;6936;315;6846;221;6181;30;6654;52;6204;-38;6658;-49;6578;185;
6802;128;6849;107;6767;260;7252;261;7170;245;6505;122;6970;51;6416;-37;6986;23;6902;93;
7091;89;7124;77;7084;229;7595;174;7497;176;6829;183;7276;57;6694;120;7309;12;7190;5;
7410;116;7421;98;7408;152;7954;274;7849;160;7146;136;7611;68;6996;247;7646;77;7472;34;
7762;140;7810;22;7742;41;8287;355;8210;319;7472;129;7958;41;7308;213;7968;212;7772;41;
8122;141;8171;117;8082;-34;8619;297;8551;426;7798;117;8319;82;7617;132;8293;280;8102;27;
8472;200;8511;150;8466;-24;8959;187;8890;327;8100;-17;8655;209;7930;57;8623;242;8460;-21;
8812;285;8865;203;8795;15;9295;64;9252;203;8338;-33;8995;287;8246;-4;8950;151;8878;-16;
9155;275;9217;236;9131;-4;9605;-75;9609;187;8619;69;9336;239;8567;31;9278;38;9219;33;
9496;228;9555;216;9460;-3;9845;-54;9954;116;8926;210;9678;177;8893;90;9735;-63;9547;109;
9816;197;9884;157;9779;40;10190;-22;;;9252;223;10012;125;9211;71;10098;-29;9864;144;
10135;125;10201;67;10095;56;;;;;9596;18;;;9524;84;;;10185;179;
;;;;;;;;;;10085;-17;;;9856;105;;;;;
;;;;;;;;;;;;;;10186;97;;;;;
